|Assets                         |Constants                  |Fonts   |Functions                             |Objects                  |Sounds                    |Sprites                        |Variables               |
|sndGrenadeStickWall            |                           |        |                                      |                         |sndSuperSlugger           |sprMutant3Idle                 |                        |
|sndGruntDeadF                  |                           |        |                                      |                         |sndSuperSplinterGun       |sprMutant3Sit                  |                        |
|sndGruntDeadM                  |                           |        |                                      |                         |sndSwapBow                |sprMutant3Walk                 |                        |
|sndGruntEnterF                 |                           |        |                                      |                         |sndSwapCursed             |sprMutant4BDead                |                        |
|sndGruntEnterM                 |                           |        |                                      |                         |sndSwapDragon             |sprMutant4BGoSit               |                        |
|sndGruntFire                   |                           |        |                                      |                         |sndSwapEnergy             |sprMutant4BHurt                |                        |
|sndGruntHurtF                  |                           |        |                                      |                         |sndSwapExplosive          |sprMutant4BIdle                |                        |
|sndGruntHurtM                  |                           |        |                                      |                         |sndSwapFlame              |sprMutant4BSit                 |                        |
|sndGruntThrowNadeF             |                           |        |                                      |                         |sndSwapGold               |sprMutant4BWalk                |                        |
|sndGruntThrowNadeM             |                           |        |                                      |                         |sndSwapGuitar             |sprMutant4Dead                 |                        |
|sndGuardBob                    |                           |        |                                      |                         |sndSwapHammer             |sprMutant4GoSit                |                        |
|sndGuardWeave                  |                           |        |                                      |                         |sndSwapMachinegun         |sprMutant4Hurt                 |                        |
|sndGuardianAppear              |                           |        |                                      |                         |sndSwapMotorized          |sprMutant4Idle                 |                        |
|sndGuardianDead                |                           |        |                                      |                         |sndSwapPistol             |sprMutant4Sit                  |                        |
|sndGuardianDisappear           |                           |        |                                      |                         |sndSwapShotgun            |sprMutant4Walk                 |                        |
|sndGuardianFire                |                           |        |                                      |                         |sndSwapSword              |sprMutant5BDead                |                        |
|sndGuardianHurt                |                           |        |                                      |                         |sndTVOn                   |sprMutant5BGoSit               |                        |
|sndGuitar                      |                           |        |                                      |                         |sndTechnomancerActivate   |sprMutant5BHurt                |                        |
|sndGuitarHit1                  |                           |        |                                      |                         |sndTechnomancerAppear     |sprMutant5BIdle                |                        |
|sndGuitarHit2                  |                           |        |                                      |                         |sndTechnomancerDead       |sprMutant5BSit                 |                        |
|sndGuitarHit3                  |                           |        |                                      |                         |sndTechnomancerDestroy    |sprMutant5BWalk                |                        |
|sndGuitarHit4                  |                           |        |                                      |                         |sndTechnomancerDisappear  |sprMutant5Dead                 |                        |
|sndGuitarHit5                  |                           |        |                                      |                         |sndTechnomancerHurt       |sprMutant5GoSit                |                        |
|sndGuitarHit6                  |                           |        |                                      |                         |sndTechnomancerRevive     |sprMutant5Hurt                 |                        |
|sndGuitarHit7                  |                           |        |                                      |                         |sndTechnomancerSpawnTurret|sprMutant5Idle                 |                        |
|sndGuitarPickup                |                           |        |                                      |                         |sndToxicBarrelGas         |sprMutant5Sit                  |                        |
|sndGunGun                      |                           |        |                                      |                         |sndToxicBoltGas           |sprMutant5Walk                 |                        |
|sndHPMimicTaunt                |                           |        |                                      |                         |sndToxicLauncher          |sprMutant6BDead                |                        |
|sndHPPickup                    |                           |        |                                      |                         |sndTripleMachinegun       |sprMutant6BGoSit               |                        |
|sndHPPickupBig                 |                           |        |                                      |                         |sndTurnChair              |sprMutant6BHurt                |                        |
|sndHalloweenWolf               |                           |        |                                      |                         |sndTurretDead             |sprMutant6BIdle                |                        |
|sndHammer                      |                           |        |                                      |                         |sndTurretFire             |sprMutant6BSit                 |                        |
|sndHammerHeadEnd               |                           |        |                                      |                         |sndTurretHurt             |sprMutant6BWalk                |                        |
|sndHammerHeadProc              |                           |        |                                      |                         |sndTurretSpawn            |sprMutant6Dead                 |                        |
|sndHealthChest                 |                           |        |                                      |                         |sndTurtleDead1            |sprMutant6GoSit                |                        |
|sndHealthChestBig              |                           |        |                                      |                         |sndTurtleDead2            |sprMutant6Hurt                 |                        |
|sndHeavyCrossbow               |                           |        |                                      |                         |sndTurtleDead3            |sprMutant6Idle                 |                        |
|sndHeavyMachinegun             |                           |        |                                      |                         |sndTurtleDead4            |sprMutant6Sit                  |                        |
|sndHeavyNader                  |                           |        |                                      |                         |sndTurtleHurt             |sprMutant6Walk                 |                        |
|sndHeavyRevoler                |                           |        |                                      |                         |sndTurtleMelee            |sprMutant7BDead                |                        |
|sndHeavySlugger                |                           |        |                                      |                         |sndUltraCrossbow          |sprMutant7BGoSit               |                        |
|sndHitFlesh                    |                           |        |                                      |                         |sndUltraEmpty             |sprMutant7BHurt                |                        |
|sndHitMetal                    |                           |        |                                      |                         |sndUltraGrenade           |sprMutant7BIdle                |                        |
|sndHitPlant                    |                           |        |                                      |                         |sndUltraGrenadeSuck       |sprMutant7BSit                 |                        |
|sndHitRock                     |                           |        |                                      |                         |sndUltraLaser             |sprMutant7BWalk                |                        |
|sndHitWall                     |                           |        |                                      |                         |sndUltraLaserUpg          |sprMutant7Dead                 |                        |
|sndHorrorA                     |                           |        |                                      |                         |sndUltraPistol            |sprMutant7GoSit                |                        |
|sndHorrorBeam                  |                           |        |                                      |                         |sndUltraShotgun           |sprMutant7Hurt                 |                        |
|sndHorrorEmpty                 |                           |        |                                      |                         |sndUltraShovel            |sprMutant7Idle                 |                        |
|sndHorrorLoop                  |                           |        |                                      |                         |sndUncurse                |sprMutant7Sit                  |                        |
|sndHorrorLoopTB                |                           |        |                                      |                         |sndUseCar                 |sprMutant7Walk                 |                        |
|sndHorrorPortal                |                           |        |                                      |                         |sndUseVan                 |sprMutant8BDead                |                        |
|sndHorrorUltraA                |                           |        |                                      |                         |sndVanHurt                |sprMutant8BGoSit               |                        |
|sndHorrorUltraB                |                           |        |                                      |                         |sndVanOpen                |sprMutant8BHurt                |                        |
|sndHorrorUltraC                |                           |        |                                      |                         |sndVanPortal              |sprMutant8BIdle                |                        |
|sndHover                       |                           |        |                                      |                         |sndVanWarning             |sprMutant8BSit                 |                        |
|sndHydrantBreak                |                           |        |                                      |                         |sndVaultBossWin           |sprMutant8BWalk                |                        |
|sndHyperCrystalAppear          |                           |        |                                      |                         |sndVenuz                  |sprMutant8CDead                |                        |
|sndHyperCrystalChargeExplo     |                           |        |                                      |                         |sndVlambeer               |sprMutant8CGoSit               |                        |
|sndHyperCrystalDead            |                           |        |                                      |                         |sndWallBreak              |sprMutant8CHurt                |                        |
|sndHyperCrystalHalfHP          |                           |        |                                      |                         |sndWallBreakBrick         |sprMutant8CIdle                |                        |
|sndHyperCrystalHurt            |                           |        |                                      |                         |sndWallBreakCrystal       |sprMutant8CSit                 |                        |
|sndHyperCrystalLowHP           |                           |        |                                      |                         |sndWallBreakJungle        |sprMutant8CWalk                |                        |
|sndHyperCrystalRelease         |                           |        |                                      |                         |sndWallBreakLabs          |sprMutant8Dead                 |                        |
|sndHyperCrystalSearch          |                           |        |                                      |                         |sndWallBreakRock          |sprMutant8GoSit                |                        |
|sndHyperCrystalSpawn           |                           |        |                                      |                         |sndWallBreakScrap         |sprMutant8Hurt                 |                        |
|sndHyperCrystalTaunt           |                           |        |                                      |                         |sndWaveGun                |sprMutant8Idle                 |                        |
|sndHyperLauncher               |                           |        |                                      |                         |sndWeaponChest            |sprMutant8Sit                  |                        |
|sndHyperRifle                  |                           |        |                                      |                         |sndWeaponPickup           |sprMutant8Walk                 |                        |
|sndHyperSlugger                |                           |        |                                      |                         |sndWheelPileBreak         |sprMutant9BGoSit               |                        |
|sndIDPDNadeAlmost              |                           |        |                                      |                         |sndWolfDead               |sprMutant9BHeadHurt            |                        |
|sndIDPDNadeExplo               |                           |        |                                      |                         |sndWolfHurt               |sprMutant9BHeadIdle            |                        |
|sndIDPDNadeLoad                |                           |        |                                      |                         |sndWolfRoll               |sprMutant9BHurt                |                        |
|sndIDPDPortalSpawn             |                           |        |                                      |                         |sndWrench                 |sprMutant9BIdle                |                        |
|sndIcicleBreak                 |                           |        |                                      |                         |sndYVUltraA               |sprMutant9BSit                 |                        |
|sndImpWristHit                 |                           |        |                                      |                         |sndYVUltraB               |sprMutant9BWalk                |                        |
|sndImpWristKill                |                           |        |                                      |                         |                          |sprMutant9Dead                 |                        |
|sndIncinerator                 |                           |        |                                      |                         |                          |sprMutant9GoSit                |                        |
|sndInspectorDeadF              |                           |        |                                      |                         |                          |sprMutant9HeadHurt             |                        |
|sndInspectorDeadM              |                           |        |                                      |                         |                          |sprMutant9HeadIdle             |                        |
|sndInspectorEndF               |                           |        |                                      |                         |                          |sprMutant9HeadlessGoSit        |                        |
|sndInspectorEndM               |                           |        |                                      |                         |                          |sprMutant9HeadlessHurt         |                        |
|sndInspectorEnterF             |                           |        |                                      |                         |                          |sprMutant9HeadlessIdle         |                        |
|sndInspectorEnterM             |                           |        |                                      |                         |                          |sprMutant9HeadlessRun          |                        |
|sndInspectorHurtF              |                           |        |                                      |                         |                          |sprMutant9HeadlessSit          |                        |
|sndInspectorHurtM              |                           |        |                                      |                         |                          |sprMutant9HeadlessWalk         |                        |
|sndInspectorStartF             |                           |        |                                      |                         |                          |sprMutant9Hurt                 |                        |
|sndInspectorStartM             |                           |        |                                      |                         |                          |sprMutant9Idle                 |                        |
|sndJackHammer                  |                           |        |                                      |                         |                          |sprMutant9Run                  |                        |
|sndJockDead                    |                           |        |                                      |                         |                          |sprMutant9Sit                  |                        |
|sndJockFire                    |                           |        |                                      |                         |                          |sprMutant9Walk                 |                        |
|sndJockHurt                    |                           |        |                                      |                         |                          |sprMutantTube                  |                        |
|sndJungleAssassinAttack        |                           |        |                                      |                         |                          |sprMutantTubeDead              |                        |
|sndJungleAssassinDead          |                           |        |                                      |                         |                          |sprMutantTubeHurt              |                        |
|sndJungleAssassinHurt          |                           |        |                                      |                         |                          |sprMutationSplat               |                        |
|sndJungleAssassinPretend       |                           |        |                                      |                         |                          |sprNOWALLS                     |                        |
|sndJungleAssassinWake          |                           |        |                                      |                         |                          |sprNadeRifle                   |                        |
|sndLabsMutantTubeBreak         |                           |        |                                      |                         |                          |sprNadeShotgun                 |                        |
|sndLabsTubeBreak               |                           |        |                                      |                         |                          |sprNader                       |                        |
|sndLaser                       |                           |        |                                      |                         |                          |sprNecroRevive                 |                        |
|sndLaserCannon                 |                           |        |                                      |                         |                          |sprNecroReviveArea             |                        |
|sndLaserCannonCharge           |                           |        |                                      |                         |                          |sprNecrogun                    |                        |
|sndLaserCannonUpg              |                           |        |                                      |                         |                          |sprNecromancerDead             |                        |
|sndLaserCrystalCharge          |                           |        |                                      |                         |                          |sprNecromancerHurt             |                        |
|sndLaserCrystalDeath           |                           |        |                                      |                         |                          |sprNecromancerIdle             |                        |
|sndLaserCrystalHit             |                           |        |                                      |                         |                          |sprNecromancerWalk             |                        |
|sndLaserUpg                    |                           |        |                                      |                         |                          |sprNew                         |                        |
|sndLastDeath                   |                           |        |                                      |                         |                          |sprNewsStand                   |                        |
|sndLastEnemy                   |                           |        |                                      |                         |                          |sprNewsStandDead               |                        |
|sndLastGrowl                   |                           |        |                                      |                         |                          |sprNewsStandHurt               |                        |
|sndLastHalfHP                  |                           |        |                                      |                         |                          |sprNightBonePileDead           |                        |
|sndLastHurt                    |                           |        |                                      |                         |                          |sprNightBonePileHurt           |                        |
|sndLastIntro                   |                           |        |                                      |                         |                          |sprNightBonePileIdle           |                        |
|sndLastLowHP                   |                           |        |                                      |                         |                          |sprNightBones                  |                        |
|sndLastMelee                   |                           |        |                                      |                         |                          |sprNightCactus                 |                        |
|sndLastMeleeCharge             |                           |        |                                      |                         |                          |sprNightCactus2                |                        |
|sndLastNotifyDeath             |                           |        |                                      |                         |                          |sprNightCactus2Dead            |                        |
|sndLastPattern1                |                           |        |                                      |                         |                          |sprNightCactus2Hurt            |                        |
|sndLastPattern2                |                           |        |                                      |                         |                          |sprNightCactus3                |                        |
|sndLastTaunt                   |                           |        |                                      |                         |                          |sprNightCactus3Dead            |                        |
|sndLastTeleport                |                           |        |                                      |                         |                          |sprNightCactus3Hurt            |                        |
|sndLastTeleportShoot           |                           |        |                                      |                         |                          |sprNightCactusDead             |                        |
|sndLevelUltra                  |                           |        |                                      |                         |                          |sprNightCactusHurt             |                        |
|sndLevelUp                     |                           |        |                                      |                         |                          |sprNightDesertTopDecal         |                        |
|sndLightningCannon             |                           |        |                                      |                         |                          |sprNothing2Appear              |                        |
|sndLightningCannonEnd          |                           |        |                                      |                         |                          |sprNothing2Death               |                        |
|sndLightningCannonLoop         |                           |        |                                      |                         |                          |sprNothing2Hurt                |                        |
|sndLightningCannonUpg          |                           |        |                                      |                         |                          |sprNothing2Idle                |                        |
|sndLightningCrystalCharge      |                           |        |                                      |                         |                          |sprNothing2Part                |                        |
|sndLightningCrystalDeath       |                           |        |                                      |                         |                          |sprNothingActivate             |                        |
|sndLightningCrystalHit         |                           |        |                                      |                         |                          |sprNothingBack                 |                        |
|sndLightningHammer             |                           |        |                                      |                         |                          |sprNothingBeam                 |                        |
|sndLightningHit                |                           |        |                                      |                         |                          |sprNothingBeamHit              |                        |
|sndLightningPistol             |                           |        |                                      |                         |                          |sprNothingBeamParticle         |                        |
|sndLightningPistolUpg          |                           |        |                                      |                         |                          |sprNothingBeamStop             |                        |
|sndLightningReload             |                           |        |                                      |                         |                          |sprNothingBeamStretch          |                        |
|sndLightningRifle              |                           |        |                                      |                         |                          |sprNothingDeath                |                        |
|sndLightningRifleUpg           |                           |        |                                      |                         |                          |sprNothingDeathLoop            |                        |
|sndLightningShotgun            |                           |        |                                      |                         |                          |sprNothingLeft                 |                        |
|sndLightningShotgunUpg         |                           |        |                                      |                         |                          |sprNothingLeg                  |                        |
|sndLilHunterAppear             |                           |        |                                      |                         |                          |sprNothingMiddle               |                        |
|sndLilHunterBouncer            |                           |        |                                      |                         |                          |sprNothingOff                  |                        |
|sndLilHunterBreak              |                           |        |                                      |                         |                          |sprNothingOn                   |                        |
|sndLilHunterDeath              |                           |        |                                      |                         |                          |sprNothingPipes                |                        |
|sndLilHunterFly                |                           |        |                                      |                         |                          |sprNothingRight                |                        |
|sndLilHunterHalfHP             |                           |        |                                      |                         |                          |sprNothingSwitchOn             |                        |
|sndLilHunterHurt               |                           |        |                                      |                         |                          |sprNuclearPillar               |                        |
|sndLilHunterLand               |                           |        |                                      |                         |                          |sprNuclearPillarDead           |                        |
|sndLilHunterLaunch             |                           |        |                                      |                         |                          |sprNuclearPillarHurt           |                        |
|sndLilHunterSniper             |                           |        |                                      |                         |                          |sprNuke                        |                        |
|sndLilHunterSummon             |                           |        |                                      |                         |                          |sprNukeFlame                   |                        |
|sndLilHunterTaunt              |                           |        |                                      |                         |                          |sprNukeLauncher                |                        |
|sndLogoLoop                    |                           |        |                                      |                         |                          |sprOasisBarrel                 |                        |
|sndLuckyShotProc               |                           |        |                                      |                         |                          |sprOasisBarrelDead             |                        |
|sndMachinegun                  |                           |        |                                      |                         |                          |sprOasisBarrelHurt             |                        |
|sndMaggotBite                  |                           |        |                                      |                         |                          |sprOasisBossDead               |                        |
|sndMaggotSpawnDie              |                           |        |                                      |                         |                          |sprOasisBossFire               |                        |
|sndMaggotSpawnIdle             |                           |        |                                      |                         |                          |sprOasisBossHurt               |                        |
|sndMeatExplo                   |                           |        |                                      |                         |                          |sprOasisBossIdle               |                        |
|sndMeleeFlip                   |                           |        |                                      |                         |                          |sprOasisBossWalk               |                        |
|sndMeleeWall                   |                           |        |                                      |                         |                          |sprOldGuardianActivate         |                        |
|sndMeltingUltraA               |                           |        |                                      |                         |                          |sprOldGuardianDead             |                        |
|sndMeltingUltraB               |                           |        |                                      |                         |                          |sprOldGuardianDeflect          |                        |
|sndMenuASkin                   |                           |        |                                      |                         |                          |sprOldGuardianFire             |                        |
|sndMenuBSkin                   |                           |        |                                      |                         |                          |sprOldGuardianHurt             |                        |
|sndMenuCharSelect              |                           |        |                                      |                         |                          |sprOldGuardianIdle             |                        |
|sndMenuCredits                 |                           |        |                                      |                         |                          |sprOldGuardianStatue           |                        |
|sndMenuCrown                   |                           |        |                                      |                         |                          |sprOptionSlider                |                        |
|sndMenuGoldwep                 |                           |        |                                      |                         |                          |sprOptions                     |                        |
|sndMenuLoadout                 |                           |        |                                      |                         |                          |sprOptionsButtons              |                        |
|sndMenuOptions                 |                           |        |                                      |                         |                          |sprPS3Big                      |                        |
|sndMenuRevolver                |                           |        |                                      |                         |                          |sprPS3Small                    |                        |
|sndMenuScores                  |                           |        |                                      |                         |                          |sprPS4Big                      |                        |
|sndMenuStats                   |                           |        |                                      |                         |                          |sprPS4Small                    |                        |
|sndMenuSword                   |                           |        |                                      |                         |                          |sprPSCircle                    |                        |
|sndMimicDead                   |                           |        |                                      |                         |                          |sprPSCross                     |                        |
|sndMimicHurt                   |                           |        |                                      |                         |                          |sprPSOptions                   |                        |
|sndMimicMelee                  |                           |        |                                      |                         |                          |sprPStat1Hurt                  |                        |
|sndMimicSlurp                  |                           |        |                                      |                         |                          |sprPStat1Idle                  |                        |
|sndMinigun                     |                           |        |                                      |                         |                          |sprPStat2Hurt                  |                        |
|sndMolefishDead                |                           |        |                                      |                         |                          |sprPStat2Idle                  |                        |
|sndMolefishFire                |                           |        |                                      |                         |                          |sprPStatDead                   |                        |
|sndMolefishHurt                |                           |        |                                      |                         |                          |sprPStatLights                 |                        |
|sndMolesargeDead               |                           |        |                                      |                         |                          |sprPStatLightsCharged          |                        |
|sndMolesargeFire               |                           |        |                                      |                         |                          |sprPalaceTopDecal              |                        |
|sndMolesargeHurt               |                           |        |                                      |                         |                          |sprPartyGun                    |                        |
|sndMoneyPileBreak              |                           |        |                                      |                         |                          |sprPatienceIconHUD             |                        |
|sndMut                         |                           |        |                                      |                         |                          |sprPauseButton                 |                        |
|sndMutAppear                   |                           |        |                                      |                         |                          |sprPaused                      |                        |
|sndMutBackMuscle               |                           |        |                                      |                         |                          |sprPickCrownText               |                        |
|sndMutBloodLust                |                           |        |                                      |                         |                          |sprPillar                      |                        |
|sndMutBoilingVeins             |                           |        |                                      |                         |                          |sprPillarDead                  |                        |
|sndMutBoltMarrow               |                           |        |                                      |                         |                          |sprPillarHurt                  |                        |
|sndMutEagleEyes                |                           |        |                                      |                         |                          |sprPipe                        |                        |
|sndMutEuphoria                 |                           |        |                                      |                         |                          |sprPizzaBox                    |                        |
|sndMutExtraFeet                |                           |        |                                      |                         |                          |sprPizzaBoxDead                |                        |
|sndMutGammaGuts                |                           |        |                                      |                         |                          |sprPizzaBoxHurt                |                        |
|sndMutHammerhead               |                           |        |                                      |                         |                          |sprPizzaChest1                 |                        |
|sndMutHeavyHeart               |                           |        |                                      |                         |                          |sprPizzaChest2                 |                        |
|sndMutHover                    |                           |        |                                      |                         |                          |sprPizzaChestOpen              |                        |
|sndMutImpactWrists             |                           |        |                                      |                         |                          |sprPizzaEntrance               |                        |
|sndMutLaserBrain               |                           |        |                                      |                         |                          |sprPizzaSewerDecal             |                        |
|sndMutLastWish                 |                           |        |                                      |                         |                          |sprPlantMenu                   |                        |
|sndMutLongArms                 |                           |        |                                      |                         |                          |sprPlantMenuDeselect           |                        |
